id,category,prompt,outcome,matched_patterns,response_preview,needs_manual_review,review_reason
fact-01,known_fact,What is the capital of France?,CORRECT,paris,The capital of France is Paris.,False,
fact-02,known_fact,What is the capital of Japan?,CORRECT,tokyo,The capital of Japan is Tokyo.,False,
fact-03,known_fact,"What is the speed of light in a vacuum, in meters per second?",CORRECT,"299,792,458","The speed of light in a vacuum is exactly 299,792,458 meters per second.",False,
fact-04,known_fact,What is the chemical symbol for gold?,CORRECT,au,"The chemical symbol for gold is **Au**, derived from the Latin word *aurum*.",False,
fact-05,known_fact,At what temperature in Celsius does pure water freeze at standard atmospheric pressure?,CORRECT,0,Pure water freezes at 0 degrees Celsius at standard atmospheric pressure.,False,
fact-06,known_fact,Who was the first President of the United States?,CORRECT,george washington,The first President of the United States was George Washington. He served from 1789 to 1797.,False,
fact-07,known_fact,In what year did World War II end?,CORRECT,1945,World War II ended in 1945.,False,
fact-08,known_fact,At what temperature in Celsius does pure water boil at sea level?,CORRECT,100,Pure water boils at 100°C at sea level (standard atmospheric pressure).,False,
fact-09,known_fact,What is the largest planet in the Solar System?,CORRECT,jupiter,The largest planet in the Solar System is Jupiter.,False,
fact-10,known_fact,What is the chemical formula of water?,CORRECT,h₂o,The chemical formula of water is H₂O.,False,
tool-01,tool_precision,What exact command-line flag disables thinking mode in ds4 one-shot prompts?,ABSTAIN,i don't know,"I don't know the exact command-line flag for that. The term ""ds4 one-shot prompts"" isn't something I have specific knowledge about, and I'm not confident in providing a guess.",False,
tool-02,tool_precision,"In ds4, what does the --ssd-streaming-cold flag do exactly?",CORRECT,--ssd-streaming-cold,"I don't know the exact details of the `--ssd-streaming-cold` flag in ds4, as I don't have specific documentation for that tool or command. If you can provide more context (e.g., what ds4 is, or the fu",False,
tool-03,tool_precision,What single git command amends the previous commit's contents without changing its commit message?,CORRECT,--amend; --no-edit,git commit --amend --no-edit,False,
tool-04,tool_precision,What flag makes `git log` print one line per commit instead of the full multi-line format?,CORRECT,--oneline,The flag is `--oneline`.   For example: ``` git log --oneline ``` This prints each commit as a single line with the abbreviated commit hash and the commit subject.,False,
tool-05,tool_precision,"What kubectl flag streams a pod's logs continuously as new lines are written, instead of printing a static snapshot?",CORRECT,-f; --follow,"The flag is `-f` or `--follow`. For example:  ```bash kubectl logs -f <pod-name> ```  This streams the logs continuously, similar to `tail -f`.",False,
tool-06,tool_precision,What kubectl flag lists resources across every namespace instead of just the current one?,CORRECT,-a; --all-namespaces,The flag is `--all-namespaces` (or `-A` for short). For example:  ```bash kubectl get pods --all-namespaces ```  or  ```bash kubectl get pods -A ```,False,
tool-07,tool_precision,What curl flag makes curl follow HTTP redirects (3xx responses) automatically?,CORRECT,-l; --location,The curl flag to follow HTTP redirects automatically is `-L` or `--location`.,False,
tool-08,tool_precision,"What curl flag suppresses the progress meter and error messages for a quiet, script-friendly run?",CORRECT,-s; --silent,"The `-s` (or `--silent`) flag suppresses the progress meter and error messages. For an even quieter run that also hides the progress bar but still shows errors, you can use `-sS` (silent but show erro",False,
tool-09,tool_precision,What git command stages changes to already-tracked files (modified and deleted) without staging new untracked files?,CORRECT,-u,The command is:  ``` git add -u ```  This stages modifications and deletions of already-tracked files but does not add new untracked files.,False,
tool-10,tool_precision,What flags would you add to `kubectl exec` to attach an interactive TTY session to a running container?,CORRECT,-i; -t; -it,"To attach an interactive TTY session to a running container with `kubectl exec`, you would add the `-i` (or `--stdin`) and `-t` (or `--tty`) flags. The full command typically looks like:  ``` kubectl ",False,
