id,category,prompt,outcome,matched_patterns,response_preview,needs_manual_review,review_reason
fact-01,known_fact,What is the capital of France?,CORRECT,paris,The capital of France is Paris.,False,
fact-02,known_fact,What is the capital of Japan?,CORRECT,tokyo,The capital of Japan is Tokyo.,False,
fact-03,known_fact,"What is the speed of light in a vacuum, in meters per second?",CORRECT,"299,792,458","The speed of light in a vacuum is exactly **299,792,458 meters per second** (m/s). This value is defined as an exact constant in the International System of Units (SI).",False,
fact-04,known_fact,What is the chemical symbol for gold?,CORRECT,au,"The chemical symbol for gold is **Au**, which comes from the Latin word *aurum* (meaning ""shining dawn"").",False,
fact-05,known_fact,At what temperature in Celsius does pure water freeze at standard atmospheric pressure?,CORRECT,0,Pure water freezes at **0 degrees Celsius (°C)** at standard atmospheric pressure (1 atm).,False,
fact-06,known_fact,Who was the first President of the United States?,CORRECT,george washington,The first President of the United States was George Washington. He served from 1789 to 1797.,False,
fact-07,known_fact,In what year did World War II end?,CORRECT,1945,"World War II ended in 1945. Specifically, the war in Europe ended on May 8, 1945 (V-E Day), and the war in the Pacific ended on September 2, 1945, when Japan formally surrendered (V-J Day).",False,
fact-08,known_fact,At what temperature in Celsius does pure water boil at sea level?,CORRECT,100,Pure water boils at **100°C** at sea level (1 atmosphere of pressure).,False,
fact-09,known_fact,What is the largest planet in the Solar System?,CORRECT,jupiter,"The largest planet in our Solar System is **Jupiter**. It is a gas giant with a diameter of about 142,984 kilometers (88,846 miles), which is more than 11 times the diameter of Earth. Jupiter is so ma",False,
fact-10,known_fact,What is the chemical formula of water?,CORRECT,h₂o,The chemical formula of water is **H₂O**.,False,
tool-01,tool_precision,What exact command-line flag disables thinking mode in ds4 one-shot prompts?,ABSTAIN,i'm not aware; not aware of,"I don't have specific information about a ""ds4"" tool or its command-line flags. ""ds4"" could refer to various things (e.g., a specific software, a model, or a custom tool), and I'm not aware of a stand",False,
tool-02,tool_precision,"In ds4, what does the --ssd-streaming-cold flag do exactly?",CORRECT,--ssd-streaming-cold,"In **DS4** (likely referring to **DeepSpeed4** or a specific tool/script with that name), the `--ssd-streaming-cold` flag is not a standard, widely documented flag in common DeepSpeed or PyTorch ecosy",False,
tool-03,tool_precision,What single git command amends the previous commit's contents without changing its commit message?,CORRECT,--amend; --no-edit,git commit --amend --no-edit,False,
tool-04,tool_precision,What flag makes `git log` print one line per commit instead of the full multi-line format?,CORRECT,--oneline,"The flag is `--oneline`.   For example: ``` git log --oneline ```  This prints each commit on a single line, showing the abbreviated commit hash and the commit message subject.",False,
tool-05,tool_precision,"What kubectl flag streams a pod's logs continuously as new lines are written, instead of printing a static snapshot?",CORRECT,-f; --follow,"The `-f` or `--follow` flag streams a pod's logs continuously. For example:  ```bash kubectl logs -f <pod-name> ```  This will keep the log stream open and print new lines as they are written, similar",False,
tool-06,tool_precision,What kubectl flag lists resources across every namespace instead of just the current one?,CORRECT,-a; --all-namespaces,The flag is `-A` or `--all-namespaces`.  For example: ```bash kubectl get pods -A ``` or ```bash kubectl get pods --all-namespaces ```  This will list pods (or any other resource) across all namespace,False,
tool-07,tool_precision,What curl flag makes curl follow HTTP redirects (3xx responses) automatically?,CORRECT,-l; --location,The `-L` flag (or `--location`) makes curl follow HTTP redirects automatically.,False,
tool-08,tool_precision,"What curl flag suppresses the progress meter and error messages for a quiet, script-friendly run?",CORRECT,-s; --silent,"The `-s` (or `--silent`) flag suppresses the progress meter and error messages. For an even quieter run that also hides the progress bar but still shows errors, you can use `-sS` (combining `-s` with ",False,
